,monthly fee for interest accounts ,monthly fee for non interest accounts,annual overdraft fee,average minimum deposit needed for interest accounts,average minimum deposit needed for interest accounts,total cost of the average out-of-network ATM withdrawal
1998,9.29,5.37,21.57,,,
1999,9.37,5.08,22.62,,,
2000,10.05,4.91,23.74,346.98,56.14,1.97
2001,10.4,4.72,24.7,418.78,61.38,2.28
2002,10.51,4.33,25.3,447.68,55.76,2.55
2003,10.86,3.72,25.8,494.73,59.49,2.53
2004,10.61,3.34,25.81,441.58,56.97,2.66
2005,10.81,3,26.9,449.53,72.56,2.69
2006,10.74,2.52,27.4,615.41,87.67,2.66
2007,11.72,2.26,28.23,986.19,83.02,2.91
2008,11.97,1.93,28.95,376.75,82.71,2.89
2009,12.55,1.77,29.58,473.12,68.32,3.03
2010,13.04,2.49,30.47,586.07,64.4,3.43
2011,14.15,4.37,30.83,441.61,59.71,3.54
2012,14.75,5.48,31.26,507.68,74.21,3.74
2013,14.64,5.54,32.2,668.55,60.27,3.81
2014,14.76,5.26,32.74,477.48,65.83,4.07
2015,15.24,5.86,33.07,519.12,177.95,4.13
2016,15.17,5.78,33.04,509.15,169.12,4.69
2017,14.69,5.84,33.38,583.58,163.32,4.68
2018,14.35,5.57,33.23,566.72,162.94,4.72
2019,15.05,5.61,33.36,574.57,155.74,4.64
2020,15.5,5.27,33.47,970.93,162.13,4.59
2021,16.35,5.08,33.58,505.22,,
